volumen,visina,naziv
235,82,Granny-Smith
251,79,Granny-Smith
272,74,Granny-Smith
218,64,Granny-Smith
292,66,Granny-Smith
254,60,Granny-Smith
259,83,Granny-Smith
274,69,Granny-Smith
258,75,Granny-Smith
229,65,Granny-Smith
300,78,Granny-Smith
223,66,Granny-Smith
230,67,Granny-Smith
278,76,Granny-Smith
302,67,Granny-Smith
211,79,Granny-Smith
276,69,Granny-Smith
226,74,Granny-Smith
239,68,Granny-Smith
228,59,Granny-Smith
236,72,Granny-Smith
232,58,Granny-Smith
254,83,Granny-Smith
280,73,Granny-Smith
247,66,Granny-Smith
282,81,Granny-Smith
239,74,Granny-Smith
224,81,Granny-Smith
227,65,Granny-Smith
240,59,Granny-Smith
256,77,Granny-Smith
290,76,Granny-Smith
228,56,Granny-Smith
217,75,Granny-Smith
268,62,Granny-Smith
230,62,Granny-Smith
257,82,Granny-Smith
271,70,Granny-Smith
221,61,Granny-Smith
279,67,Granny-Smith
284,83,Granny-Smith
213,68,Granny-Smith
237,82,Granny-Smith
296,75,Granny-Smith
226,77,Granny-Smith
264,78,Granny-Smith
310,81,Granny-Smith
255,83,Granny-Smith
249,78,Granny-Smith
219,63,Granny-Smith
263,71,Granny-Smith
295,59,Granny-Smith
211,59,Granny-Smith
227,56,Granny-Smith
306,73,Granny-Smith
234,73,Granny-Smith
281,61,Granny-Smith
293,76,Granny-Smith
215,74,Granny-Smith
252,76,Granny-Smith
253,66,Granny-Smith
216,69,Granny-Smith
268,68,Granny-Smith
291,70,Granny-Smith
299,72,Granny-Smith
272,57,Granny-Smith
223,63,Granny-Smith
250,62,Granny-Smith
300,70,Granny-Smith
239,78,Granny-Smith
306,73,Granny-Smith
253,84,Granny-Smith
245,73,Granny-Smith
265,72,Granny-Smith
293,63,Granny-Smith
252,61,Granny-Smith
243,59,Granny-Smith
294,56,Granny-Smith
275,71,Granny-Smith
210,57,Granny-Smith
224,74,Granny-Smith
283,83,Granny-Smith
226,64,Granny-Smith
220,65,Granny-Smith
243,56,Granny-Smith
234,58,Granny-Smith
262,73,Granny-Smith
289,79,Granny-Smith
229,59,Granny-Smith
239,77,Granny-Smith
238,77,Granny-Smith
264,65,Granny-Smith
251,59,Granny-Smith
241,70,Granny-Smith
219,57,Granny-Smith
229,61,Granny-Smith
279,67,Granny-Smith
306,84,Granny-Smith
264,79,Granny-Smith
285,77,Granny-Smith
213,43,King-Pipins
183,47,King-Pipins
184,54,King-Pipins
160,54,King-Pipins
182,40,King-Pipins
189,58,King-Pipins
167,49,King-Pipins
157,49,King-Pipins
202,52,King-Pipins
191,54,King-Pipins
205,52,King-Pipins
146,60,King-Pipins
167,47,King-Pipins
170,58,King-Pipins
177,55,King-Pipins
143,51,King-Pipins
147,52,King-Pipins
199,54,King-Pipins
203,53,King-Pipins
161,60,King-Pipins
153,52,King-Pipins
159,52,King-Pipins
144,52,King-Pipins
140,44,King-Pipins
205,53,King-Pipins
155,55,King-Pipins
147,57,King-Pipins
152,44,King-Pipins
162,41,King-Pipins
150,42,King-Pipins
197,48,King-Pipins
131,57,King-Pipins
138,56,King-Pipins
166,48,King-Pipins
166,53,King-Pipins
173,53,King-Pipins
124,42,King-Pipins
175,44,King-Pipins
208,58,King-Pipins
125,52,King-Pipins
220,58,King-Pipins
132,49,King-Pipins
186,53,King-Pipins
125,55,King-Pipins
211,42,King-Pipins
123,56,King-Pipins
133,58,King-Pipins
164,40,King-Pipins
161,49,King-Pipins
202,40,King-Pipins
129,53,King-Pipins
149,52,King-Pipins
215,48,King-Pipins
207,42,King-Pipins
218,48,King-Pipins
180,46,King-Pipins
161,44,King-Pipins
180,49,King-Pipins
144,48,King-Pipins
158,52,King-Pipins
197,60,King-Pipins
204,56,King-Pipins
217,44,King-Pipins
173,49,King-Pipins
207,42,King-Pipins
138,49,King-Pipins
148,48,King-Pipins
139,60,King-Pipins
217,43,King-Pipins
217,40,King-Pipins
209,58,King-Pipins
157,49,King-Pipins
166,49,King-Pipins
171,42,King-Pipins
216,46,King-Pipins
167,60,King-Pipins
160,59,King-Pipins
164,41,King-Pipins
167,47,King-Pipins
187,53,King-Pipins
152,45,King-Pipins
173,42,King-Pipins
129,46,King-Pipins
195,46,King-Pipins
179,46,King-Pipins
194,49,King-Pipins
216,47,King-Pipins
176,54,King-Pipins
131,46,King-Pipins
161,48,King-Pipins
168,42,King-Pipins
217,59,King-Pipins
125,57,King-Pipins
131,51,King-Pipins
140,43,King-Pipins
120,56,King-Pipins
193,53,King-Pipins
197,55,King-Pipins
158,42,King-Pipins
175,44,King-Pipins
