volumen,visina,naziv
282,70,Granny-Smith
226,57,Granny-Smith
250,59,Granny-Smith
275,57,Granny-Smith
234,65,Granny-Smith
213,58,Granny-Smith
227,69,Granny-Smith
266,62,Granny-Smith
208,73,Granny-Smith
283,57,Granny-Smith
206,68,Granny-Smith
203,69,Granny-Smith
235,61,Granny-Smith
237,72,Granny-Smith
264,58,Granny-Smith
233,57,Granny-Smith
213,65,Granny-Smith
270,59,Granny-Smith
252,72,Granny-Smith
209,68,Granny-Smith
202,67,Granny-Smith
210,67,Granny-Smith
237,64,Granny-Smith
300,64,Granny-Smith
280,70,Granny-Smith
243,70,Granny-Smith
222,69,Granny-Smith
235,71,Granny-Smith
214,65,Granny-Smith
217,74,Granny-Smith
243,68,Granny-Smith
226,59,Granny-Smith
282,61,Granny-Smith
211,64,Granny-Smith
266,62,Granny-Smith
271,56,Granny-Smith
289,64,Granny-Smith
284,72,Granny-Smith
251,57,Granny-Smith
232,65,Granny-Smith
263,63,Granny-Smith
263,56,Granny-Smith
296,65,Granny-Smith
261,64,Granny-Smith
284,56,Granny-Smith
258,58,Granny-Smith
217,72,Granny-Smith
235,71,Granny-Smith
279,72,Granny-Smith
252,62,Granny-Smith
247,58,Granny-Smith
225,67,Granny-Smith
256,60,Granny-Smith
236,59,Granny-Smith
223,70,Granny-Smith
221,64,Granny-Smith
274,71,Granny-Smith
216,61,Granny-Smith
240,61,Granny-Smith
258,68,Granny-Smith
233,59,Granny-Smith
229,73,Granny-Smith
278,59,Granny-Smith
280,59,Granny-Smith
299,74,Granny-Smith
273,55,Granny-Smith
205,58,Granny-Smith
253,55,Granny-Smith
207,73,Granny-Smith
295,73,Granny-Smith
292,72,Granny-Smith
243,62,Granny-Smith
242,61,Granny-Smith
235,66,Granny-Smith
250,72,Granny-Smith
221,73,Granny-Smith
273,60,Granny-Smith
298,67,Granny-Smith
277,67,Granny-Smith
259,58,Granny-Smith
235,63,Granny-Smith
296,74,Granny-Smith
292,65,Granny-Smith
210,72,Granny-Smith
223,69,Granny-Smith
216,58,Granny-Smith
283,63,Granny-Smith
230,72,Granny-Smith
218,68,Granny-Smith
261,63,Granny-Smith
299,74,Granny-Smith
223,63,Granny-Smith
232,61,Granny-Smith
236,72,Granny-Smith
295,63,Granny-Smith
273,68,Granny-Smith
261,67,Granny-Smith
269,66,Granny-Smith
285,59,Granny-Smith
291,72,Granny-Smith
178,57,King-Pipins
223,57,King-Pipins
171,49,King-Pipins
174,58,King-Pipins
200,51,King-Pipins
188,48,King-Pipins
229,55,King-Pipins
215,62,King-Pipins
173,62,King-Pipins
155,48,King-Pipins
176,55,King-Pipins
168,65,King-Pipins
186,57,King-Pipins
162,62,King-Pipins
153,55,King-Pipins
186,47,King-Pipins
246,51,King-Pipins
201,62,King-Pipins
174,63,King-Pipins
224,53,King-Pipins
163,56,King-Pipins
216,47,King-Pipins
236,60,King-Pipins
188,48,King-Pipins
194,49,King-Pipins
244,64,King-Pipins
229,63,King-Pipins
239,57,King-Pipins
157,47,King-Pipins
159,58,King-Pipins
170,57,King-Pipins
161,61,King-Pipins
150,61,King-Pipins
213,55,King-Pipins
218,46,King-Pipins
185,54,King-Pipins
217,48,King-Pipins
174,51,King-Pipins
166,60,King-Pipins
235,59,King-Pipins
231,47,King-Pipins
191,55,King-Pipins
186,47,King-Pipins
203,62,King-Pipins
178,56,King-Pipins
196,45,King-Pipins
191,65,King-Pipins
242,45,King-Pipins
194,46,King-Pipins
155,61,King-Pipins
152,49,King-Pipins
155,61,King-Pipins
152,51,King-Pipins
177,51,King-Pipins
206,58,King-Pipins
175,64,King-Pipins
167,52,King-Pipins
196,45,King-Pipins
238,61,King-Pipins
176,49,King-Pipins
250,52,King-Pipins
204,65,King-Pipins
170,56,King-Pipins
172,64,King-Pipins
233,56,King-Pipins
214,55,King-Pipins
163,64,King-Pipins
198,60,King-Pipins
173,59,King-Pipins
204,60,King-Pipins
153,61,King-Pipins
155,51,King-Pipins
178,57,King-Pipins
238,49,King-Pipins
189,59,King-Pipins
166,46,King-Pipins
160,62,King-Pipins
166,46,King-Pipins
248,64,King-Pipins
166,54,King-Pipins
200,48,King-Pipins
235,52,King-Pipins
205,51,King-Pipins
189,65,King-Pipins
175,51,King-Pipins
234,45,King-Pipins
180,47,King-Pipins
202,48,King-Pipins
250,60,King-Pipins
242,52,King-Pipins
193,64,King-Pipins
154,48,King-Pipins
234,54,King-Pipins
235,54,King-Pipins
179,60,King-Pipins
186,50,King-Pipins
184,52,King-Pipins
197,46,King-Pipins
154,58,King-Pipins
194,53,King-Pipins
