volumen,visina,naziv
269,77,Granny-Smith
217,79,Granny-Smith
232,69,Granny-Smith
200,74,Granny-Smith
190,72,Granny-Smith
260,74,Granny-Smith
276,74,Granny-Smith
217,69,Granny-Smith
260,67,Granny-Smith
246,65,Granny-Smith
278,78,Granny-Smith
239,79,Granny-Smith
239,68,Granny-Smith
263,75,Granny-Smith
277,75,Granny-Smith
187,72,Granny-Smith
237,60,Granny-Smith
256,66,Granny-Smith
189,77,Granny-Smith
260,63,Granny-Smith
280,79,Granny-Smith
224,66,Granny-Smith
277,65,Granny-Smith
181,70,Granny-Smith
188,64,Granny-Smith
254,60,Granny-Smith
237,61,Granny-Smith
235,71,Granny-Smith
180,68,Granny-Smith
182,62,Granny-Smith
204,61,Granny-Smith
267,61,Granny-Smith
220,66,Granny-Smith
214,78,Granny-Smith
190,63,Granny-Smith
209,68,Granny-Smith
207,61,Granny-Smith
202,75,Granny-Smith
190,69,Granny-Smith
245,70,Granny-Smith
237,79,Granny-Smith
250,65,Granny-Smith
248,72,Granny-Smith
269,77,Granny-Smith
256,78,Granny-Smith
195,61,Granny-Smith
198,80,Granny-Smith
211,66,Granny-Smith
195,74,Granny-Smith
190,72,Granny-Smith
228,50,Fuji
166,60,Fuji
236,58,Fuji
195,53,Fuji
167,69,Fuji
183,64,Fuji
244,60,Fuji
168,67,Fuji
190,52,Fuji
209,57,Fuji
217,53,Fuji
218,58,Fuji
221,69,Fuji
161,64,Fuji
217,55,Fuji
167,69,Fuji
233,60,Fuji
157,54,Fuji
221,51,Fuji
205,51,Fuji
191,55,Fuji
236,70,Fuji
183,63,Fuji
162,64,Fuji
171,68,Fuji
195,51,Fuji
245,57,Fuji
245,57,Fuji
233,70,Fuji
201,55,Fuji
176,53,Fuji
232,67,Fuji
191,65,Fuji
151,68,Fuji
213,68,Fuji
188,54,Fuji
185,58,Fuji
167,58,Fuji
232,70,Fuji
209,60,Fuji
152,68,Fuji
210,54,Fuji
226,60,Fuji
242,70,Fuji
156,50,Fuji
169,66,Fuji
201,60,Fuji
243,57,Fuji
220,53,Fuji
161,56,Fuji
