"","kolegij","semestar"
"1","Baze podataka 2",5
"2","Projektiranje informacjiskih sustava",5
"3","Računovodstvo",5
"4","Upravljanje informatičkim uslugama",5
"5","Algoritmi",5
"6","Sustavi temeljeni na znanju",5
"7","Engleski jezik za menadžere",5
"8","Logistika",5
"9","Mreže računala 2",5
"10","Multimedijski sustavi",5
"11","Njemački jezik za menadžere",5
"12","Odabrane teme iz biometrije",5
"13","Otkrivanje znanja u podacima",5
"14","Poduzetništvo",5
"15","Računalno i informatičko pravo",5
"16","Upravljanje odnosima s klijentima",5
"17","Uvod u teoriju informacija",5
"18","Operacijska istraživanja 1",6
"19","Programsko inženjestvo",6
"20","Web dizajn i programiranje",6
"21","Završni rad",6
"22","Kontroling",6
"23","Napdredne formalne metode",6
"24","Obrambeni informacijski sustavi",6
"25","Poslovno odlučivanje",6
"26","Poslovno planiranje i projekti",6
"27","Vođenje projekata",6
